Carvalho;Camelia_e1;4
Carvalho;Camelia_e2;6
Carvalho;Tilia;9
Tilia;Camelia_e2;7
Tilia;Camelia_e3;3
Tilia;Camelia_e4;7
Tilia;Castanheiro_India;9
Castanheiro_India;Camelia_e6;7
Castanheiro_India;Camelia_e7;16
Castanheiro_India;Olaia;10
Olaia;Camelia_e7;8
Olaia;Camelia_e8;8
Olaia;Liquidanbar;7
Liquidanbar;Camelia_e8;8
Liquidanbar;Camelia_e9;6
Liquidanbar;Abrunheiro;5
Abrunheiro;Camelia_e9;6
Abrunheiro;Camelia_d7;13
Abrunheiro;Ginkgo;4
Ginkgo;Camelia_d7;12
Magnolia;Camelia_d7;12
Magnolia;Camelia_d6;8
Magnolia;Folhado;9
Folhado;Camelia_d6;7
Folhado;Camelia_d5;6
Folhado;Camelia_d4;11
Sobreiro;Camelia_d1;5
Sobreiro;Camelia_d2;7
Camelia_e1;Camelia_d1;10
Camelia_e1;Camelia_e2;4
Camelia_e2;Camelia_e3;5
Camelia_e2;Camelia_d2;10
Camelia_e3;Camelia_d3;10
Camelia_e3;Camelia_e4;6
Camelia_e4;Camelia_d4;10
Camelia_e4;Camelia_e6;6
Camelia_e6;Camelia_d4;10
Camelia_e6;Camelia_e7;20
Camelia_e7;Camelia_e8;7
Camelia_e7;Camelia_d5;10
Camelia_e8;Camelia_e9;6
Camelia_e8;Camelia_d6;10
Camelia_e9;Camelia_d6;11
Camelia_e9;Camelia_d7;10
Camelia_d7;Camelia_d6;6
Camelia_d6;Camelia_d5;6
Camelia_d5;Camelia_d4;6
Camelia_d4;Camelia_d3;5
Camelia_d3;Camelia_d2;4
Camelia_d2;Camelia_d1;5
