0;8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
10;7;0;5;9;0;0;0;0;0;0;9;0;0;0;0;0;10
0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
0;6;9;0;0;7;0;0;3;4;0;5;0;0;0;0;0;0
0;0;0;0;7;0;10;8;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;10;0;11;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;8;11;0;8;0;11;0;0;0;0;0;0;0
0;0;0;0;3;0;0;8;0;4;9;0;0;0;0;0;0;0
0;0;0;0;4;0;0;0;4;0;11;0;9;0;0;0;0;0
0;0;0;0;0;0;0;11;9;11;0;0;12;0;0;0;0;0
0;0;9;6;5;0;0;0;0;0;0;0;0;0;0;0;0;7
0;0;0;0;0;0;0;0;0;9;12;0;0;5;0;0;5;0
0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;7;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;8
0;0;0;0;0;0;0;0;0;0;0;0;5;7;4;3;0;3
0;0;10;0;0;0;0;0;0;0;0;7;0;0;0;8;3;0
