size;time
590;0,0219748020172
1190;0,0907609462738
1790;0,2043390274050
2390;0,3662941455840
2990;0,5719180107120
3590;0,8355979919430
4190;1,1379740238200
4790;1,4860260486600
5390;1,9287788868000
5990;2,3602302074400
6590;2,8677248954800
7190;3,4316449165300
7790;4,0748929977400
8390;4,7225139141100
8990;5,4578878879500
9590;6,2308518886600
10190;6,9334869384800
10790;7,8938028812400
11390;8,8389678001400
11990;10,0250351429000
12590;11,2090401649000
13190;12,2977728844000
13790;13,5524568558000
14390;14,8766441345000
14990;15,3608660698000
15590;17,3190431595000
16190;18,7086410522000
16790;20,3469831944000
17390;21,6934669018000
17990;22,8864247799000
